Date,Post ID,Format,Pillar,Hook / Theme,Views,Reach,Likes,Comments,Shares,Saves,Follows,ER (reach),Views/Reach,Days Live,Link
2025-10-02,18113347324548518,Carousel,,"In a world buzzing with distractions, mastering your focus is your greatest supe",,397,10,1,4,0,0,2.77%,0.00,259,https://www.instagram.com/p/DPUnWjekmry/
2025-09-25,17868845556377621,Post,,We believe that every day is an opportunity to push past your limits. This isn’t,,86,4,0,2,0,0,4.65%,0.00,266,https://www.instagram.com/p/DPBuj_Njf-a/
2025-09-23,17872207929428836,Post,,This isn’t just a supplement. It’s a formula perfected by artificial intelligenc,,145,4,1,3,0,0,3.45%,0.00,268,https://www.instagram.com/p/DO9PLX6lfro/
2025-09-20,17842448253581937,Carousel,,What Power Coffee really does for you? ⚡️,,166,9,2,3,0,0,6.63%,0.00,271,https://www.instagram.com/p/DO03ny1jTbm/
2025-09-17,18042470357400122,Carousel,,What’s your morning vibe? ☕,,214,8,1,4,0,0,4.21%,0.00,274,https://www.instagram.com/p/DOtwb0hFVUY/
2025-09-09,17924049453109132,Post,,"Lucas, thank you for sharing your journey with us! Stories like yours inspire ou",,93,6,1,2,0,0,7.53%,0.00,282,https://www.instagram.com/p/DOZJrnDFVHO/
2025-09-08,18095627491656140,Reel,,Cold Brew with Power Coffee Foam 🤎,,411,7,3,5,0,,2.43%,0.00,283,https://www.instagram.com/reel/DOWc8dbDoJ1/
2025-09-06,18422724454103672,Carousel,,"That inevitable afternoon crash isn’t your fault, it’s a sign that your coffee h",,80,3,0,2,1,0,5.00%,0.00,285,https://www.instagram.com/p/DOQpnWZjfEb/
2025-09-03,17980259312860177,Carousel,,"This is the moment your regular coffee becomes extraordinary, infusing your brew",,890,12,1,8,0,1,1.46%,0.00,288,https://www.instagram.com/p/DOJKWdxjfdU/
2025-08-29,17857911501495331,Post,,"Your morning coffee, smarter.",,51,4,0,1,0,0,7.84%,0.00,293,https://www.instagram.com/p/DN772VXDdRf/
2025-08-27,18067984037179375,Carousel,,This isn’t just about waking up early; it’s about making every minute count by w,,260,9,3,9,0,0,4.62%,0.00,295,https://www.instagram.com/p/DN3uOqOasKs/
2025-08-22,18020809103554946,Post,,"Rita, thank you for sharing your journey with us! Stories like yours inspire our",,135,3,0,3,0,0,2.22%,0.00,300,https://www.instagram.com/p/DNq9FFE5Fyl/
2025-08-21,18048092801285824,Post,,"From the West Coast to the East Coast, one thing is the same:",,194,6,0,4,0,4,3.09%,0.00,301,https://www.instagram.com/p/DNofQwQOG4W/
2025-08-19,17944943174900421,Reel,,Stop hitting snooze on your potential. Power Coffee isn’t just a drink; it’s an ,,192,8,2,1,0,,5.21%,0.00,303,https://www.instagram.com/reel/DNjOnRRyb20/
2025-08-13,18325108183229583,Reel,,"Power Coffee is more than just coffee, it’s your new fuel for mind and body. Wit",,348,8,1,7,1,,2.87%,0.00,309,https://www.instagram.com/reel/DNT4BkHudbe/
2025-08-06,18056866445382466,Post,,You don’t need more caffeine. You need smarter fuel. You need to add Power Coffe,,690,19,5,4,4,0,4.06%,0.00,316,https://www.instagram.com/p/DNB3wpgSmZf/
2025-08-05,18085932889834891,Carousel,,Power Coffee was created to help you break free.,,723,12,4,7,2,0,2.49%,0.00,317,https://www.instagram.com/p/DM_I2JMS7cM/
2025-08-02,18380256682124979,Post,,"You need a ritual that works with you, not against you.",,600,9,0,3,1,0,1.67%,0.00,320,https://www.instagram.com/p/DM2iT1zyiQv/
2025-08-01,17953800356848816,Carousel,,"That 3PM crash, the mental fog, the endless refills... it’s not you. It’s what’s",,817,32,3,4,0,0,4.28%,0.00,321,https://www.instagram.com/p/DM0O1W0u4K8/
2025-07-30,17978367326736715,Reel,,The coffee you already love upgraded for better days!#functionalcoffee #cleanene,,224,5,0,0,0,,2.23%,0.00,323,https://www.instagram.com/reel/DMuw-_duHMZ/
2025-07-24,17872595604392598,Carousel,,Feeling tired even after a full night’s sleep? Let’s talk about fatigue.,,100,2,0,3,1,0,3.00%,0.00,329,https://www.instagram.com/p/DMgLhpcSaNz/
2025-07-19,18032717651674466,Reel,,"From early mornings getting the kids ready, to late nights refining Power Coffee",,393,8,1,3,0,,2.29%,0.00,334,https://www.instagram.com/reel/DMSlVIxuoJ-/
2025-07-15,18093903757616749,Reel,,We’re not a simple product but a movement for better days! Join us!#functionalco,,588,7,1,2,0,,1.36%,0.00,338,https://www.instagram.com/reel/DMH9-_aueYM/
2025-07-13,18366662056199352,Reel,,It’s not about a supplement to add in your coffee. It’s about a movement for bet,,429,2,0,1,0,,0.47%,0.00,340,https://www.instagram.com/reel/DMDLBT0uNTN/
2025-07-10,18073915466295863,Reel,,It’s so simple! Black coffee boosted with The Power Coffee!! #functionalcoffee #,,516,5,2,3,0,,1.36%,0.00,343,https://www.instagram.com/reel/DL7amOnupSc/
2025-06-30,17962502654794714,Carousel,,Tired of energy spikes that crash hard?,,148,5,2,3,0,0,4.73%,0.00,353,https://www.instagram.com/p/DLhucSLOP7A/
2025-06-23,18058219928462121,Carousel,,"You wake up, grab your phone, skip breakfast, and drink two coffees before 9 AM…",,326,12,1,2,0,0,3.99%,0.00,360,https://www.instagram.com/p/DLQMg7mOFx6/
2025-06-18,18286171990255567,Reel,,Looking for something more sweet? Try this! Red fruits jelly with oat milk and T,,473,11,0,1,0,,2.33%,0.00,365,https://www.instagram.com/reel/DLC6tDMuaXa/
2025-06-17,17961572708942597,Reel,,Why switch your favorite coffee for others! You can just boost your favorite cof,,506,12,2,3,0,,2.77%,0.00,366,https://www.instagram.com/reel/DLAQbhIOn_H/
2025-06-16,17971938395903982,Carousel,,🔥 Don’t dilute the power.,,200,5,1,4,0,0,3.00%,0.00,367,https://www.instagram.com/p/DK9v7z4uq4y/
2025-06-12,17931754407052576,Reel,,We understand the difference between a real coffee and Power Coffee. ☕️Real coff,,288,7,1,3,0,,2.78%,0.00,371,https://www.instagram.com/reel/DKz8sSXuBaI/
2025-06-10,18229366597290080,Post,,"Summer hustle? Family, work, workouts—and still need to function at 100%?",,273,6,0,2,1,0,2.56%,0.00,373,https://www.instagram.com/p/DKuPAh2OiZk/
2025-06-04,18000998276787971,Carousel,,🔋 You feel the difference within minutes… but the real power comes with time.,,240,4,2,5,0,0,2.50%,0.00,379,https://www.instagram.com/p/DKezVYZuXEg/
2025-05-29,18064792214025010,Carousel,,☕ You became an adult… but no one warned you that your coffee would betray you.,,116,4,0,3,0,0,3.45%,0.00,385,https://www.instagram.com/p/DKPwK5-ubgl/
2025-05-26,18073679080913456,Post,,"🇺🇸 Honored to be born and crafted in Lexington, MA a place rich in history, free",,305,8,0,2,0,0,2.62%,0.00,388,https://www.instagram.com/p/DKHwKphtcXo/
2025-05-22,18007472654587457,Post,,⚡ Tired? Fatigued? Not really?,,369,17,2,4,0,0,5.15%,0.00,392,https://www.instagram.com/p/DJ9YWLcNpgu/
2025-05-16,18088384618620601,Reel,,Your coffee ☕️ your way! Just add Power Coffee and #boost your day! 🚀#SmartEnerg,,139,8,1,1,0,,6.47%,0.00,398,https://www.instagram.com/reel/DJt6JEENvSQ/
2025-05-15,18049445216582727,Carousel,,⚡️ The coffee that keeps you going for 12 hours.,,142,6,1,4,0,0,4.93%,0.00,399,https://www.instagram.com/p/DJrX8CUOf8r/
2025-05-14,18033464333367172,Reel,,💪Starting my day with iced latte made with almond milk and Power Coffee!,,231,8,2,5,0,,4.33%,0.00,400,https://www.instagram.com/reel/DJoqZI_N8sr/
2025-05-13,18107567818445256,Post,,⚡️ Your boosted day starts now.,,403,8,1,6,0,0,2.23%,0.00,401,https://www.instagram.com/p/DJmmN2eOZeH/
2025-05-12,17882818104181618,Reel,,#mondayhack Delicious Power Coffee drink to boost your day! Access www.thepowerc,,136,7,1,2,0,,5.88%,0.00,402,https://www.instagram.com/reel/DJjQEvWuhGo/
2025-05-08,18063137899871047,Carousel,,🌸 To all the unstoppable moms out there… this one’s for you.,,143,6,1,2,0,0,4.90%,0.00,406,https://www.instagram.com/p/DJZ39VUy_MP/
2025-05-07,17907675591036733,Reel,,🧐why The Power Coffee? Watch this video and know why Power Coffee is best option,,312,13,6,5,0,,6.09%,0.00,407,https://www.instagram.com/reel/DJWgG9mOvMN/
2025-05-06,18057066311234408,Reel,,💪level up your day! The Power Coffee bring laser focus and long lasting energy f,,245,8,1,1,0,,3.67%,0.00,408,https://www.instagram.com/reel/DJUJlV1ufiD/
2025-05-05,17847798933437106,Reel,,👉Fun fact! Cutting back on caffeine can help you lose 60% of your will to live 🤣,,213,7,0,2,0,,3.29%,0.00,409,https://www.instagram.com/reel/DJR4y8muNOh/
2025-05-05,18006268619589273,Reel,,1. 🔋 All-day Energy Without the Crash,,397,18,3,4,0,,5.29%,0.00,409,https://www.instagram.com/reel/DJRf7meugvt/
2025-05-04,18068926258751485,Reel,,"💪Layers of power, flavor, and fuel.",,314,5,1,4,0,,1.91%,0.00,410,https://www.instagram.com/reel/DJO1f-vO74m/
2025-05-03,17998812722789319,Reel,,☕️Simple cappuccino with Power Coffee + vegetal milk! 💪 #PowerYourDay #Functiona,,227,18,4,2,0,,9.69%,0.00,411,https://www.instagram.com/reel/DJMn9uQOFja/
2025-05-02,17953973174954720,Reel,,Yes! You DON’T have to give up the coffee you love to boost your energy! ☕⚡,,83,4,0,1,0,,4.82%,0.00,412,https://www.instagram.com/reel/DJJ-feHuPX6/
2025-04-30,17979934265827984,Post,,✨ Tired of ending your day drained?,,436,8,1,4,1,0,2.29%,0.00,414,https://www.instagram.com/p/DJFHKuzO7jR/
2025-04-29,18082816315588108,Carousel,,Hot week = iced coffee boosted with The Power Coffee,,90,8,1,3,0,0,10.00%,0.00,415,https://www.instagram.com/p/DJCIRKXOKtf/
2025-04-24,18081266758709433,Post,,✨ PISTACHIO ENERGY IN A CUP ✨,,102,7,0,0,0,0,6.86%,0.00,420,https://www.instagram.com/p/DI1xnnhSu5-/
2025-04-23,18029022695392975,Reel,,"☕️ We know you love your Starbucks, Dunkin’, or Café Nero and we do too! So we c",,308,17,3,3,0,,6.49%,0.00,421,https://www.instagram.com/reel/DIynOU2Ocma/
2025-04-22,18161257603352961,Post,,☕ Boost your day with Power Coffee!,,387,22,3,3,0,1,6.46%,0.00,422,https://www.instagram.com/p/DIv5uLmuwOx/
2025-04-15,18038081090631455,Post,,WHAT is The Power Coffee? ☕⚡,,546,11,1,5,0,0,2.20%,0.00,429,https://www.instagram.com/p/DId5zXPOu5G/
2025-04-10,17903684142139220,Post,,🌟 Power Up Your Day with the perfect blend of energy and flavor! 🌟,,1677,17,1,4,0,0,1.07%,0.00,434,https://www.instagram.com/p/DIRslm5SVuQ/
2025-04-09,18060174607887778,Post,,🔥 Boost Your Metabolism & Energy Naturally 🔥,,267,9,1,6,0,0,3.75%,0.00,435,https://www.instagram.com/p/DIO7m1ju3CN/
2025-04-07,18059311976475853,Post,,Absolutely! Here’s an enhanced version of your Instagram post with more detailed,,348,7,0,4,0,0,2.01%,0.00,437,https://www.instagram.com/p/DIJ7dcDuBpL/
2025-04-02,18018324182508206,Post,,🌱 THE POWER OF MATCHA in every sip of Power Coffee ☕,,276,12,1,4,0,0,4.71%,0.00,442,https://www.instagram.com/p/DH8iHTDOUvx/
